Title,Note,URL,Comment
Potts River Tracks Trail Head,,https://www.google.com/maps/place/Potts+River+Tracks+Trail+Head/data=!4m2!3m1!1s0x6d2c058dcbcbd0ad:0xcdb287a2a60e6653,
Pyramid Valley,,https://www.google.com/maps/place/Pyramid+Valley/data=!4m2!3m1!1s0x6d31b4e4bc930295:0x65219bb2c6e6a5e1,
Amethyst Hot Springs,,https://www.google.com/maps/place/Amethyst+Hot+Springs/data=!4m2!3m1!1s0x6d29474d16a400e1:0x18840e3738ad7f10,
Lake Clearwater Circuit Track,,https://www.google.com/maps/place/Lake+Clearwater+Circuit+Track/data=!4m2!3m1!1s0x6d2c110031643f65:0x28fb264372f10165,
Wildwire Wanaka,,https://www.google.com/maps/place/Wildwire+Wanaka/data=!4m2!3m1!1s0xa9d54ff24ab275df:0xa52ee2c06670d8d1,
Welcome Flat Hut,,https://www.google.com/maps/place/Welcome+Flat+Hut/data=!4m2!3m1!1s0x6d2a37beb7de237d:0x90ec3681d2a2d449,
Cameron Flat Campsite,,https://www.google.com/maps/place/Cameron+Flat+Campsite/data=!4m2!3m1!1s0x6cd5672af9419573:0x1bd4737babae54ec,
12 Mile Delta,,https://www.google.com/maps/place/12+Mile+Delta/data=!4m2!3m1!1s0xa9d4fcf8b25c2967:0x35193a2c596db98f,
Purakaunui Bay Campsite,,https://www.google.com/maps/place/Purakaunui+Bay+Campsite/data=!4m2!3m1!1s0xa82dbae268d50d1d:0x75b7f6071b6e35b4,
UpTown Backpackers,,https://www.google.com/maps/place/UpTown+Backpackers/data=!4m2!3m1!1s0xa82eadb18bd22e75:0xfa765978c290f6c,
ADJØ,,https://www.google.com/maps/place/ADJ%C3%98/data=!4m2!3m1!1s0xa82ead7060c3f823:0xba952329ded8ab7c,
68 Brockley Road,,https://www.google.com/maps/place/68+Brockley+Road/data=!4m2!3m1!1s0x6d2cbf71e7b79a47:0x8bb5e9ad2f71dba0,
326 Highcliff Road,,https://www.google.com/maps/place/326+Highcliff+Road/data=!4m2!3m1!1s0xa82eadc553efa443:0x69209b91d9e7ef65,
Catalyst,,https://www.google.com/maps/place/Catalyst/data=!4m2!3m1!1s0xa82ead46d46275bb:0xa1fbce4743a7e67a,
Maggies,,https://www.google.com/maps/place/Maggies/data=!4m2!3m1!1s0xa82eac12452253ff:0x9015ff445c4ec892,
The Perc Cafe,,https://www.google.com/maps/place/The+Perc+Cafe/data=!4m2!3m1!1s0xa82eac0fcd156445:0x3ec1dc9378e1289c,
45 Fingall Street,,https://www.google.com/maps/place/45+Fingall+Street/data=!4m2!3m1!1s0xa82eaea391448dbd:0x65076eca1ba99c6f,
Turners Cars Dunedin,,https://www.google.com/maps/place/Turners+Cars+Dunedin/data=!4m2!3m1!1s0xa82eac1fe27bd001:0x8d96e9478cf49896,
Southern Comfort - BBH,,https://www.google.com/maps/place/Southern+Comfort+-+BBH/data=!4m2!3m1!1s0xa9d2c4a20735ab4d:0x2824f9cc2be3d88b,
6 Nichol Road,,https://www.google.com/maps/place/6+Nichol+Road/data=!4m2!3m1!1s0xa9d2b91a99c6e447:0x2bae6f860c108f1,
Campsie Downs,,https://www.google.com/maps/place/Campsie+Downs/data=!4m2!3m1!1s0xa9d3a900394394ef:0x11b28731ad0fa9df,
Albergue Cafetería Alto da Pena,,https://www.google.com/maps/place/Albergue+Cafeter%C3%ADa+Alto+da+Pena/data=!4m2!3m1!1s0xd2ee73e0d199871:0x8b3b6b066ef2ade6,
Highland Creek Hut,,https://www.google.com/maps/place/Highland+Creek+Hut/data=!4m2!3m1!1s0xa9d53f6820806ea3:0xe33217908cacb71a,
The Sauna Wānaka,,https://www.google.com/maps/place/The+Sauna+W%C4%81naka/data=!4m2!3m1!1s0x822e07d116f37c45:0x72841563bfaf9c59,
World Famous Sheffield Pies - Sheffield store,,https://www.google.com/maps/place/World+Famous+Sheffield+Pies+-+Sheffield+store/data=!4m2!3m1!1s0x6d2e0f9842621a23:0x671cfc12402b31b1,
Mt Cook Alpine Salmon Shop,,https://www.google.com/maps/place/Mt+Cook+Alpine+Salmon+Shop/data=!4m2!3m1!1s0x6d2b1b09bf046139:0x7157b6535b29a985,
Route 79 Holiday Park,,https://www.google.com/maps/place/Route+79+Holiday+Park/data=!4m2!3m1!1s0x6d2cf5e3a3c6b935:0xfe170c7b3a71c05,
Mesopotamia airstrip,,https://www.google.com/maps/place/Mesopotamia+airstrip/data=!4m2!3m1!1s0x6d2c0fd8f56f97d3:0xf3b491919dee9d68,
Arthur's Pass Village,,https://www.google.com/maps/place/Arthur's+Pass+Village/data=!4m2!3m1!1s0x6d2e45d9b621fb75:0xb4bf49e0d3b5c517,
Powerhouse Cafe & Restaurant,,https://www.google.com/maps/place/Powerhouse+Cafe+%26+Restaurant/data=!4m2!3m1!1s0x6d3063788d22436f:0x824b57b0102254ee,
Hanmer Springs Kakapo Lodge,,https://www.google.com/maps/place/Hanmer+Springs+Kakapo+Lodge/data=!4m2!3m1!1s0x6d306383a372bc73:0x7424d96525465fe0,
The Secret Sauna,,https://www.google.com/maps/place/The+Secret+Sauna/data=!4m2!3m1!1s0xa9d55357856bec7d:0x4d7423fc28d46160,
Alleyway Emporium,,https://www.google.com/maps/place/Alleyway+Emporium/data=!4m2!3m1!1s0xa9d54f592fc7b3d5:0x2a4d78c63bf8ab8f,
